en_wiki,requests,occupation,logvar
Ennio_Morricone,127368,"composer,conductor",0.5004233134028858
Lana_Del_Rey,126404,"singer-songwriter,composer",0.08350715864531266
Cara_Delevingne,126114,singer,0.0741778713665769
Kurt_Cobain,125896,"guitarist,singer-songwriter,singer,composer,musician",0.12728044434763533
Tori_Kelly,123914,"singer,composer",0.6296073327263318
Mariah_Carey,122745,"singer,singer-songwriter,composer,musician",0.09031733120631166
Nicki_Minaj,122114,"composer,singer,songwriter,singer-songwriter,rapper",0.08211695262286564
Ryan_Gosling,121707,musician,0.10590926454730759
Harry_Styles,121295,singer,0.10343637143537199
Anne_Hathaway,119810,singer,0.07186313194796318
Zac_Efron,119381,"singer,disc jockey",0.08871226796609884
Bruce_Springsteen,119283,"guitarist,singer-songwriter,composer",0.17690542899095024
Meghan_Trainor,119160,"singer-songwriter,singer,record producer,musician,songwriter,composer",0.289470346045246
Jackie_Chan,118981,singer,0.04288045247428137
Sam_Smith_(singer),118760,"singer,composer,singer-songwriter",0.3647860585850532
Whitney_Houston,117451,"singer,pianist,musician",0.17652042254757258
Stevie_Wonder,117172,"singer-songwriter,record producer,singer,pianist,composer",0.20968592138744097
Celine_Dion,116352,"singer,musician",0.16420815394296517
Halsey_(singer),116340,singer,0.19815099823492005
John_Stamos,116135,singer,0.5835470038496443
Christina_Aguilera,115093,"singer,singer-songwriter,composer,musician,record producer",0.22934740340473753
The_Notorious_B.I.G.,114773,"musician,rapper",0.10724475543036525
Mark_Wahlberg,114396,musician,0.09280764616239844
Shakira,113825,"composer,singer",0.10402483302964684
DJ_Khaled,113141,"disc jockey,record producer,musician",0.1676091481644428
Alice_Cooper,112775,"singer-songwriter,musician",0.36830239468639614
George_Harrison,112211,"guitarist,singer,songwriter,composer,singer-songwriter",0.17949714132367545
Tyga,111758,"singer,rapper",0.2627287755365143
Lionel_Richie,111345,"singer,singer-songwriter,pianist,musician,record producer",0.5313190958597825
Jared_Leto,111301,"guitarist,singer-songwriter",0.11662801670989746
Phil_Collins,110979,"singer,singer-songwriter,composer,jazz musician",0.17403187905499265
Lee_Ryan,110945,"singer-songwriter,composer,musician",1.2364226474383682
Sam_Hunt_(musician),110776,"singer,singer-songwriter",0.7520853032236962
Justin_Timberlake,110082,"musician,singer-songwriter,record producer",0.0775224594368224
Cher,110038,"singer,singer-songwriter,composer,record producer",0.12149276594017097
Lorde,109900,"singer-songwriter,singer",0.3188618277778374
Friedrich_Nietzsche,109222,composer,0.0891126991645338
Louis_Armstrong,108343,"trumpeter,bandleader,conductor,jazz musician",0.41366425805543233
Melissa_Benoist,107700,singer,0.12637687669486314
Tyler_Joseph,107530,singer,0.13074126412500486
50_Cent,107059,"musician,rapper,composer",0.11591034582603862
Mark_Ronson,106564,"singer,disc jockey",0.3850917844154239
Mary-Kate_Olsen,105912,singer,0.418025980805803
Jimmy_Fallon,105908,singer,0.13288670797553528
Chance_the_Rapper,105563,"singer-songwriter,rapper,musician,songwriter,composer",0.6032694106406377
Sasha_Grey,105550,"musician,singer,guitarist",0.04027037303695559
DMX_(rapper),104322,"rapper,musician",0.31237256829392607
Robin_Thicke,103762,"singer,record producer,musician,singer-songwriter,composer",0.622801707254049
Donald_Glover,103023,"songwriter,rapper",0.13693832083569274
J._Cole,102325,"rapper,record producer,songwriter",0.20685417586735727
Paul_Dano,101602,musician,0.42204809640120156
Michael_Keaton,101586,singer,0.2519265847100279
Lil_Wayne,101256,"singer,composer,record producer,rapper",0.11316964874524665
Daniel_Radcliffe,100736,singer,0.05802184295988903
Jack_Black,100532,"singer,musician,singer-songwriter,music producer",0.1784762201872112
Chris_Brown,100374,"singer,singer-songwriter,musician,rapper",0.08831207450111962
Mick_Jagger,100371,"singer-songwriter,musician,guitarist,composer,singer",0.13128121699788461
Amy_Adams,100032,singer,0.13775334844113224
Miles_Davis,99530,"composer,trumpeter,bandleader,conductor,jazz musician",0.3234445731622598
Iggy_Azalea,99494,"rapper,songwriter",0.09187845443216196
Nina_Simone,98820,"singer-songwriter,composer,pianist,jazz musician",0.20036468813196529
John_Williams,98575,"conductor,composer,pianist",0.2521169567010173
Maya_Angelou,97585,songwriter,0.549677949526312
Mayim_Bialik,96720,singer,0.29083205780273574
Avril_Lavigne,96257,"singer-songwriter,singer,composer",0.05564902877039789
Nicole_Kidman,96247,singer,0.07021002705511337
