en_wiki,requests,instance_of,logvar
Gambit_(comics),47802,"mutant,superhero",0.20242911638129354
Killer_Frost,47612,"fictional character,supervillain",0.26096107441956284
Thor,47527,Norse deity,0.11092245696179821
Solomon,47361,human biblical character,0.08716436612711391
Felicity_Smoak,47269,fictional human,0.10368934917504187
Captain_Flint,47260,fictional human,0.2194210636261208
Rey_(Star_Wars),47077,fictional human,0.15723570503791426
Supergirl,46979,"superhero,fictional character",0.1488702488018435
Cyrus_the_Great,46382,human biblical character,0.11540459399424931
Persephone,45859,Greek deity,0.15723817597481654
Domino_(comics),45798,"mutant,superhero,fictional character",0.48458712630054046
Heracles,45574,"mythical character,demigod",0.11819111824804426
Black_Canary,45524,fictional character,0.0766089110827844
Mario,45326,"Mario franchise character,Donkey Kong character",0.1647102412208446
Catwoman,45257,fictional human,0.07877490532635797
Cupid,45044,deity,0.3967228791651752
Bucky,45041,"fictional character,superhero",0.1890350591396941
Mazikeen_(comics),44932,fictional character,0.5353411112416158
Ernst_Stavro_Blofeld,44458,"fictional human,character from James Bond series",0.09885253928875032
Slender_Man,44315,fictional character,0.1354371950051131
Peter_Pan,43974,fictional character,0.0817512214567887
Wendigo,43880,mythical creature,0.11095006748928425
Green_Lantern,43851,fictional character,0.13112657824755716
Rick_Flag,43848,fictional character,0.10425679427485707
Aquaman,43714,fictional character,0.11041308152489193
Hera,43553,Twelve Olympians,0.19737228695513168
Darkseid,43168,"fictional character,supervillain",0.12790131784651418
Kitty_Pryde,42618,"fictional human,superhero",0.2180991595572724
Michael_(archangel),42597,"angel,Angels in Judaism,angel in Christianity",0.07972076532288208
Loki,42446,Norse deity,0.11993065789941626
Odysseus,42432,mythological Greek character,0.17222545688110985
Mary_Magdalene,42396,human biblical character,0.10446067419170506
Quicksilver_(comics),42294,"supervillain,superhero",0.09465189927303454
Luke_Skywalker,42272,"fictional human,film character,protagonist",0.13636174364109638
Amanda_Waller,42086,fictional character,0.07786727720033675
Captain_Boomerang,42048,"fictional character,supervillain",0.07977465108147522
Cannonball_(comics),41927,"mutant,superhero",1.1340627385867212
Kali,41630,Devi,0.07389218237227729
Dick_Grayson,41615,fictional human,0.10347074556679237
Ouroboros,41231,mythological serpent,0.10728909078495967
King_Shark,41228,"fictional character,supervillain",0.46426038894050664
Loch_Ness_Monster,41184,mythical creature,0.18233298144889587
Hephaestus,41136,Twelve Olympians,0.18810280668204404
Ops,41039,deity,0.01906097426630747
Gaia_(mythology),41002,Greek primordial deity,0.11744307742489733
Oedipus,40772,mythical character,0.17527392214640375
Sisyphus,40548,"mythological Greek character,fictional king",0.20892272162105374
Baphomet,40477,mythical creature,0.09012706465314539
Princess_Leia,40366,"fictional human,film character",0.13533486495468156
Atom_(Ray_Palmer),40357,fictional character,0.08328419757999289
Helen_of_Troy,40336,mythical character,0.10951963229382837
Thoth,40294,"deity,mythical character",0.18420090495247213
Captain_Cold,40258,"fictional character,supervillain",0.10545258972148361
Lobo_(DC_Comics),40238,"comic character,supervillain",0.4112460615080628
Ganesha,40216,deity,0.08888021767750427
Mystique_(comics),40076,"mutant,superhero",0.12933786262538977
Bigfoot,40059,mythical creature,0.20058359003505505
Faust,40007,fictional character,0.12688765147041423
Fox_Mulder,39946,"fictional human,television character",0.2169582394714584
Barbie,39904,fictional character,0.11567623292543883
